,Rank,Name,Total,Singles,Doubles
314,315,"Noguchi, Rio","35,387","29,035","6,352"
315,316,"Svajda, Trevor","35,155","34,690",465
316,317,"Escoffier, Antoine","34,563","33,282","1,281"
317,318,"Soto, Matias","34,480","21,497","12,983"
318,319,"Cassone, Murphy","34,391","33,244","1,147"
319,320,"Budkov Kjaer, Nicolai","34,349","33,173","1,176"
320,321,"Durasovic, Viktor","34,030","32,567","1,463"
321,322,"Zahraj, Patrick","33,926","32,019","1,907"
322,323,"Andreev, Adrian","33,776","33,196",580
323,324,"Shimizu, Yuta","33,479","32,322","1,157"
324,325,"Pel, David","32,672",0,"32,672"
325,326,"Bolt, Alex","32,627","32,162",465
326,327,"Masur, Daniel","31,671","28,825","2,846"
327,328,"Choinski, Jan","31,513","31,239",274
328,329,"Pavlovic, Luka","31,350","28,509","2,841"
329,330,"Marinkov, Pavle","31,323","28,847","2,476"
330,331,"Houkes, Max","30,374","26,974","3,400"
331,332,"Trhac, Patrik","29,929",0,"29,929"
332,333,"Prashanth, Vijay Sundar","29,772",0,"29,772"
333,334,"Roca Batalla, Oriol","29,377","27,022","2,355"
334,335,"Nedunchezhiyan, Jeevan","29,274",0,"29,274"
335,336,"Mager, Gianluca","28,675","28,675",0
336,337,"Dellavedova, Matthew","28,465","28,465",0
337,338,"Denolly, Corentin","28,347","24,178","4,169"
338,339,"Lammons, Nathaniel","27,952",0,"27,952"
339,340,"Mansouri, Skander","27,951",0,"27,951"
340,341,"Piros, Zsombor","27,931","27,122",809
341,342,"Jones, Hayden","27,497","25,128","2,369"
342,343,"Karatsev, Aslan","27,187","27,187",0
343,344,"Kypson, Patrick","26,663","26,663",0
344,345,"Sachko, Vitaliy","26,605","17,046","9,559"
345,346,"Rincon, Daniel","26,591","21,079","5,512"
346,347,"Drzewiecki, Karol","26,558",0,"26,558"
347,348,"Cornea, Victor","26,330",0,"26,330"
348,349,"Saville, Luke","26,020",0,"26,020"
349,350,"Zormann, Marcelo","25,987",0,"25,987"
350,351,"Guillen Meza, Alvaro","25,740","23,767","1,973"
351,352,"Jubb, Paul","25,700","25,700",0
352,353,"Hewitt, Cruz","25,371","24,920",451
353,354,"Van Assche, Luca","25,208","24,934",274
354,355,"Chandrasekar, Anirudh","24,935",0,"24,935"
