,Name,Total,Singles,Doubles
34,"SAKELLARIDI, SAPFO","38,450","26,265","12,185"
35,"OSUIGWE, WHITNEY","38,365","33,936","4,429"
36,"GOVORTSOVA, OLGA","38,244","38,244",
37,"JONES, FRANCESCA","38,213","38,213",
38,"NAITO, YUKI","37,891","33,512","4,379"
39,"TOPALOVA, GERGANA","37,737","35,417","2,319"
40,"RUZIC, ANTONIA","37,675","36,535","1,140"
41,"FUNG, STACEY","37,566","35,733","1,833"
42,"LANSERE, SOFYA","36,794","20,832","15,961"
43,"MORATELLI, ANGELICA","36,702","13,874","22,828"
44,"TUBELLO, ALICE","36,052","25,365","10,687"
45,"ANSHBA, AMINA","35,113","12,728","22,385"
0,,"34,753","34,139",614
1,,"34,500","34,500",
2,,"34,475","29,919","4,556"
3,,"34,309","33,659",650
4,,"34,181","32,953","1,227"
5,,"34,045","33,817",228
6,,"33,878","28,206","5,672"
7,,"33,854","23,356","10,498"
8,,"33,851","30,251","3,600"
9,,"33,846","31,133","2,712"
10,,"33,699","33,076",623
11,,"33,691","29,528","4,163"
12,,"33,669","30,930","2,739"
13,,"33,632","18,502","15,130"
14,,"33,505","29,723","3,781"
15,,"33,049","32,377",672
16,,"33,031","32,433",598
17,,"32,629","7,384","25,245"
18,,"31,389","28,809","2,580"
19,,"31,138","24,649","6,488"
20,,"30,886","29,131","1,754"
21,,"30,837","24,014","6,823"
22,,"30,834","27,651","3,183"
23,,"30,629","20,061","10,568"
24,,"30,478","27,751","2,726"
25,,"30,337","22,192","8,145"
26,,"30,182","29,105","1,077"
27,,"30,100","29,659",441
28,,"29,931","27,615","2,316"
29,,"29,761","29,283",478
30,,"29,642","25,386","4,255"
31,,"29,521","26,224","3,297"
32,,"29,471","29,127",344
33,,"29,299","17,245","12,053"
34,,"29,060","22,151","6,908"
35,,"28,939","18,102","10,837"
36,,"28,923","24,959","3,964"
37,,"28,614","19,427","9,187"
38,,"28,451","15,646","12,804"
39,,"28,245","18,120","10,125"
40,,"28,161","21,435","6,726"
41,,"27,931","24,858","3,073"
42,,"27,757","3,485","19,272"
43,,"27,596","20,418","7,177"
44,,"27,236",,"27,236"
45,,"27,063","25,410","1,653"
0,"STAKUSIC, MARINA","26,919","20,994","5,925"
1,"CAPURRO TABORDA, MARTINA","26,876","25,338","1,538"
2,"TARARUDEE, LANLANA","26,856","25,190","1,666"
3,"SÁNCHEZ, ANA SOFIA","26,807","24,743","2,064"
4,"LEPCHENKO, VARVARA","26,748","26,748",
5,"NAHIMANA, SADA","26,475","22,937","3,538"
6,"HUI, KATHERINE","26,292","24,806","1,486"
7,"SALKOVA, DOMINIKA","26,215","17,269","8,945"
8,"MALECKOVA, JESIKA","25,707","15,378","10,329"
9,"LIZARAZO, YULIANA","25,623","6,966","18,657"
10,"YASHINA, EKATERINA","25,404","12,654","12,749"
11,"DARTRON, EMELINE","25,369","23,573","1,795"
12,"PEREZ GARCIA, MARIA PAULINA","25,264","3,844","21,420"
13,"FITA BOLUDA, ANGELA","25,106","22,010","3,096"
14,"HAN, XINYUN","24,940","1,270","19,116"
15,"RADIVOJEVIC, LOLA","24,884","23,054","1,829"
16,"PARNABY, ALANA","24,744","10,358","5,656"
17,"COLLINS, ALI","24,443",,"24,443"
18,"DIATCHENKO, VITALIA","24,370","24,091",278
19,"ANDRIANJAFITRIMO, TESSAH","24,365","14,779","9,586"
20,"PIGATO, LISA","24,363","21,770","2,593"
21,"GUO, HANYU","24,294","12,757","11,537"
22,"MIRZA, SANIA","24,112",,"24,112"
23,"PLIPUECH, PEANGTARN","23,783","15,751","8,032"
24,"KAWAGUCHI, NATSUMI","23,762","19,668","4,094"
25,"AMARIEI, ILINCA","23,663","19,828","3,835"
26,"PARK, SOHYUN","23,461","20,197","3,264"
27,"HELG?, MALENE","23,344","22,039","1,305"
28,"PAPADAKIS, LENA","23,163","19,634","3,528"
29,"KINGSLEY, RAVEENA","23,090","22,806",284
30,"CHRISTIAN, KAITLYN","22,822",,"22,822"
31,"PEDONE, GIORGIA","22,817","19,162","3,655"
32,"PRISACARIU, ANDREEA","22,804","19,083","3,721"
33,"LACY, ISABELLE","22,685","22,291",394
34,"RADANOVIC, DEJANA","22,581","21,771",810
35,"SIERRA, SOLANA","22,389","21,569",820
36,"STRUPLOVA, JULIE","22,334","19,780","2,554"
37,"HU, VICTORIA","22,325","19,557","2,768"
38,"GAO, XINYU","22,208","20,474","1,734"
39,"VAN DER HOEK, ROSALIE","22,186",152,"22,033"
40,"DINU, CRISTINA","21,926","17,219","4,706"
41,"LAHEY, ASHLEY","21,896","15,019","6,877"
42,"VISMANE, DANIELA","21,861","14,767","7,094"
43,"CORTEZ LLORCA, LUCIA","21,846","17,806","4,039"
44,"SEWING, SOFIA","21,836","9,543","12,292"
45,"COLMEGNA, MARTINA","21,794","18,815","2,979"
0,"LODIKOVA, DARIA","21,794","18,746","3,048"
1,"BUYUKAKCAY, CAGLA","21,548","19,640","1,907"
2,"DUERST, JENNY","21,498","14,306","7,192"
3,"COSTOULAS, SOFIA","21,222","16,634","4,587"
4,"WEI, SIJIA","21,208","18,114","3,093"
5,"GARCIA PEREZ, GEORGINA","20,775","14,275","6,499"
6,"IATCENKO, POLINA","20,542","17,887","2,654"
7,"ITO, AOI","20,490","16,173","4,317"
8,"BHOSALE, RUTUJA","20,109","14,470","5,639"
9,"MARCINKEVICA, DIANA","19,944","13,434","6,510"
10,"HAAS, BARBARA","19,926","19,825",101
11,"HEWITT, DALAYNA","19,347","11,919","7,428"
12,"KUZMOVA, KATARINA","19,163","15,755","3,407"
13,"BOSKOVIC, LEA","19,152","18,114","1,038"
14,"SOBOLEVA, ANASTASIYA","19,098","17,858","1,240"
15,"CIRIC BAGARIC, LUCIJA","19,097","18,077","1,020"
16,"JORGE, MATILDE","19,087","7,962","11,125"
17,"OKAMURA, KYOKA","19,002","15,512","3,489"
18,"DI LORENZO, FRANCESCA","18,939","12,671","6,268"
19,"ROGERS, ANNA","18,819","5,951","12,868"
20,"GABUEVA, ANGELINA","18,736","2,804","15,932"
21,"SMITH, ALANA","18,724","15,269","3,455"
22,"RYSER, VALENTINA","18,719","17,468","1,251"
23,"STOSUR, SAMANTHA","18,636",,"14,082"
24,"RADISIC, NIKA","18,594","10,026","8,567"
25,"MALYGINA, ELENA","18,512","15,181","3,331"
26,"KUMKHUM, LUKSIKA","18,467","8,991","9,476"
27,"BOJICA, STEFANIA","18,304","16,262","2,042"
28,"AMBROSIO, SILVIA","18,287","17,371",916
29,"KOZAROV, KATARINA","18,272","16,285","1,987"
30,"KURAMOCHI, MIHO","18,152","16,600","1,552"
31,"CHERUBINI, DILETTA","18,091","15,646","2,445"
32,"OSTLUND, FANNY","17,982","11,329","6,653"
33,"NAVARRO OLIVA, MARIA FERNANDA","17,938","12,554","5,383"
34,"MBOKO, VICTORIA","17,930","16,459","1,471"
35,"GUTH, MARA","17,915","16,320","1,595"
36,"FOMINA-KLOTZ, ALENA","17,830","1,394","16,435"
37,"BAYERLOVA, MICHAELA","17,780","11,330","6,450"
38,"SAWANGKAEW, MANANCHAYA","17,776","16,980",795
39,"GAVRILA, OANA","17,701","7,935","9,765"
40,"GLUSHKO, LINA","17,698","13,259","4,439"
41,"CE, GABRIELA","17,694","17,694",
42,"MATOULA, MARTHA","17,679","15,220","2,459"
43,"FALCONI HARTMAN, IRINA","17,591","17,183",408
44,"FERNANDEZ OLIVARES, LYA ISABEL","17,584","17,584",
45,"XU, MINGGE","17,342","17,088",254
